ID,Cohort,Collar,Age,Sex,Time,TotalDays,Days,Titre,LogTitre
1,1,A197,A,M,7/1/2009,39995,0,11.31,3.499527024
1,1,A197,A,M,11/1/2009,40118,123,11.31,3.499527024
1,1,A197,A,M,1/1/2010,40179,184,11.31,3.499527024
1,1,A197,A,M,3/1/2010,40238,243,11.31,3.499527024
1,1,A197,A,M,5/1/2010,40299,304,11.31,3.499527024
1,1,A197,A,M,7/1/2010,40360,365,11.31,3.499527024
1,1,A197,A,M,9/1/2010,40422,427,11.31,3.499527024
1,1,A197,A,M,11/1/2010,40483,488,11.31,3.499527024
1,1,A197,A,M,7/1/2011,40725,730,11.31,3.499527024
2,1,A190,A,M,7/1/2009,39995,0,32,5
2,1,A190,A,M,11/1/2009,40118,123,11.31,3.499527024
2,1,A190,A,M,1/1/2010,40179,184,11.31,3.499527024
2,1,A190,A,M,3/1/2010,40238,243,32,5
2,1,A190,A,M,5/1/2010,40299,304,16,4
2,1,A190,A,M,7/1/2010,40360,365,NA,NA
2,1,A190,A,M,9/1/2010,40422,427,NA,NA
2,1,A191,A,M,11/1/2010,40483,488,11.31,3.499527024
2,1,A192,A,M,7/1/2011,40725,730,NA,NA
3,1,A193,A,M,7/1/2009,39995,0,11.31,3.499527024
3,1,A193,A,M,11/1/2009,40118,123,22.63,4.500164679
3,1,A193,A,M,1/1/2010,40179,184,11.31,3.499527024
3,1,A193,A,M,3/1/2010,40238,243,16,4
3,1,A193,A,M,5/1/2010,40299,304,16,4
3,1,A193,A,M,7/1/2010,40360,365,32,5
3,1,A193,A,M,9/1/2010,40422,427,16,4
3,1,A193,A,M,11/1/2010,40483,488,11.31,3.499527024
3,1,A193,A,M,7/1/2011,40725,730,11.31,3.499527024
4,1,A189,A,M,7/1/2009,39995,0,NA,NA
4,1,A189,A,M,11/1/2009,40118,123,11.31,3.499527024
4,1,A189,A,M,1/1/2010,40179,184,11.31,3.499527024
4,1,A189,A,M,3/1/2010,40238,243,NA,NA
4,1,A189,A,M,5/1/2010,40299,304,NA,NA
4,1,A189,A,M,7/1/2010,40360,365,11.31,3.499527024
4,1,A189,A,M,9/1/2010,40422,427,11.31,3.499527024
4,1,A189,A,M,11/1/2010,40483,488,11.31,3.499527024
4,1,A189,A,M,7/1/2011,40725,730,16,4
5,1,A195,A,M,7/1/2009,39995,0,11.31,3.499527024
5,1,A195,A,M,11/1/2009,40118,123,11.31,3.499527024
5,1,A195,A,M,1/1/2010,40179,184,11.31,3.499527024
5,1,A195,A,M,3/1/2010,40238,243,11.31,3.499527024
5,1,A195,A,M,5/1/2010,40299,304,11.31,3.499527024
5,1,A195,A,M,7/1/2010,40360,365,11.31,3.499527024
5,1,A195,A,M,9/1/2010,40422,427,11.31,3.499527024
5,1,A195,A,M,11/1/2010,40483,488,11.31,3.499527024
5,1,A195,A,M,7/1/2010,40360,365,11.31,3.499527024
6,1,NA,A,M,7/1/2009,39995,0,NA,NA
6,1,NA,A,M,11/1/2009,40118,123,NA,NA
6,1,NA,A,M,1/1/2010,40179,184,NA,NA
6,1,NA,A,M,3/1/2010,40238,243,NA,NA
6,1,NA,A,M,5/1/2010,40299,304,NA,NA
6,1,NA,A,M,7/1/2010,40360,365,NA,NA
6,1,NA,A,M,9/1/2010,40422,427,NA,NA
6,1,NA,A,M,11/1/2010,40483,488,NA,NA
6,1,NA,A,M,7/1/2010,40360,365,NA,NA
7,1,A196,SI,M,7/1/2009,39995,0,11.31,3.499527024
7,1,A196,SI,M,11/1/2009,40118,123,16,4
7,1,A196,SI,M,1/1/2010,40179,184,32,5
7,1,A196,SI,M,3/1/2010,40238,243,NA,NA
7,1,A196,SI,M,5/1/2010,40299,304,45.25,5.499845887
